"salary"	"exprior"	"yearsbg"	"yearsrank"	"market"	"termdeg"	"admin"	"yearsdg"	"rank"	"male"
"1"	38361.74609375	0	14	2	0.720000028610229	1	0	14	"Associate"	"Women"
"2"	68906	2	29	20	1	1	0	31	"Full"	"Men"
"3"	55979	0	14	3	1.03999996185303	1	0	14	"Full"	"Men"
"4"	61008	0	3	3	1.24000000953674	1	0	2	"Assistant"	"Men"
"5"	42977	5	7	1	0.990000009536743	1	0	12	"Associate"	"Men"
"6"	51640	4	13	5	0.990000009536743	1	0	17	"Full"	"Women"
"7"	42034	1	8	4	0.790000021457672	1	0	9	"Associate"	"Women"
"8"	31000	0	0	0	0.879999995231628	1	0	0	"Assistant"	"Men"
"9"	45584	0	25	5	0.959999978542328	1	0	23	"Associate"	"Men"
"10"	35782	0	2	1	0.990000009536743	1	0	1	"Assistant"	"Men"
"11"	63167	0	26	17	0.959999978542328	1	0	22	"Associate"	"Men"
"12"	66032	0	29	16	0.889999985694885	1	0	27	"Full"	"Men"
"13"	48168	2	16	11	0.839999973773956	1	0	18	"Associate"	"Men"
"14"	38935	15	3	3	0.910000026226044	1	0	18	"Assistant"	"Women"
"15"	75353	0	25	12	1.24000000953674	1	0	21	"Full"	"Men"
"16"	64794.59765625	0	21	11	0.920000016689301	1	0	20	"Full"	"Men"
"17"	79002	1	30	24	0.990000009536743	1	0	31	"Full"	"Men"
"18"	63155	0	6	0	1.33000004291534	1	0	6	"Associate"	"Men"
"19"	54701	19	2	1	0.990000009536743	1	0	21	"Associate"	"Men"
"20"	44319	4	26	22	0.779999971389771	1	0	30	"Associate"	"Men"
"21"	30001	5	3	3	0.769999980926514	1	0	8	"Assistant"	"Women"
"22"	54464	0	10	1	0.990000009536743	1	0	10	"Full"	"Men"
"23"	47344	0	3	3	1.21000003814697	1	0	3	"Assistant"	"Women"
"24"	65704	1	21	11	0.759999990463257	1	0	22	"Full"	"Men"
"25"	48681	0	19	12	1.04999995231628	1	0	19	"Associate"	"Women"
"26"	53248	0	23	13	0.740000009536743	1	0	22	"Full"	"Men"
"27"	39461	3	2	2	0.850000023841858	1	0	5	"Assistant"	"Women"
"28"	43958	4	12	6	0.810000002384186	1	0	16	"Associate"	"Women"
"29"	96156	20	12	12	1.19000005722046	1	0	32	"Full"	"Men"
"30"	37000	7	7	4	0.779999971389771	1	0	14	"Associate"	"Men"
"31"	41563	7	2	2	0.920000016689301	1	0	9	"Assistant"	"Men"
"32"	32000	2	0	0	0.850000023841858	1	0	2	"Assistant"	"Women"
"33"	46292	0	2	2	1.13999998569489	1	0	2	"Assistant"	"Women"
"34"	37000	3	0	0	1	1	0	3	"Assistant"	"Men"
"35"	68894	16	7	7	0.990000009536743	1	1	23	"Full"	"Men"
"36"	53103	3	10	10	1.23000001907349	1	0	13	"Associate"	"Men"
"37"	56289	5	21	15	0.779999971389771	1	0	26	"Full"	"Men"
"38"	53187	19	7	6	0.779999971389771	1	0	26	"Full"	"Women"
"39"	33680	1	3	3	0.850000023841858	1	0	4	"Assistant"	"Men"
"40"	52996	5	8	8	0.839999973773956	1	1	13	"Associate"	"Men"
"41"	55978.1953125	7	8	8	0.759999990463257	1	0	15	"Associate"	"Men"
"42"	36869	0	7	1	0.850000023841858	1	0	6	"Associate"	"Women"
"43"	37242	8	4	1	0.990000009536743	1	0	12	"Associate"	"Men"
"44"	56252	0	17	14	0.730000019073486	1	0	17	"Associate"	"Men"
"45"	59835	1	24	9	0.800000011920929	1	0	25	"Full"	"Men"
"46"	56419	0	23	18	1	1	0	23	"Full"	"Men"
"47"	66746	1	25	16	1.0900000333786	1	0	26	"Full"	"Men"
"48"	45669	2	18	5	0.730000019073486	1	0	20	"Associate"	"Women"
"49"	36833	8	2	2	0.889999985694885	1	0	10	"Assistant"	"Women"
"50"	30927	1	6	6	0.790000021457672	1	0	7	"Assistant"	"Men"
"51"	54296	7	17	4	1.01999998092651	1	0	24	"Full"	"Men"
"52"	43695	17	4	4	0.930000007152557	0	0	21	"Assistant"	"Men"
"53"	48065	0	13	13	1.21000003814697	1	0	13	"Assistant"	"Women"
"54"	57965.1171875	12	13	13	1.12999999523163	1	1	25	"Full"	"Men"
"55"	30000	3	0	0	0.779999971389771	0	0	3	"Assistant"	"Men"
"56"	52009	0	23	1	0.850000023841858	1	0	21	"Full"	"Women"
"57"	55227	0	3	3	1.23000001907349	1	0	2	"Assistant"	"Men"
"58"	53665	0	25	12	0.920000016689301	1	0	23	"Full"	"Men"
"59"	54423	13	24	18	1.0900000333786	1	0	37	"Full"	"Men"
"60"	36833	0	3	3	0.839999973773956	1	0	3	"Assistant"	"Women"
"61"	61812	6	19	8	1.01999998092651	1	0	25	"Full"	"Men"
"62"	33680	0	2	1	0.920000016689301	1	0	1	"Assistant"	"Women"
"63"	40356	0	4	0	0.779999971389771	1	0	4	"Associate"	"Women"
"64"	37359	6	3	3	0.850000023841858	1	0	9	"Assistant"	"Women"
"65"	75365	0	25	17	1.13999998569489	1	0	24	"Full"	"Men"
"66"	40465	4	5	0	0.910000026226044	1	0	9	"Associate"	"Men"
"67"	38410	10	1	1	0.920000016689301	1	0	11	"Associate"	"Women"
"68"	51199	0	21	10	0.930000007152557	1	0	19	"Full"	"Men"
